ID,名前,説明,画像
1,ホシマン,"２７歳男性。
主人公。頭の形が星の形をしていて、全身が黄色でいかにも星という感じ。
暗い性格をしている。

港で船に荷物をつけたり、書類を作ったりする仕事を派遣でしていた。
７月末で契約が終了し趣味のバイクでオプティプル島へ向かっていた。

肉体労働をしていたことが、今回の海難事故では不幸中の幸いとなった。

１７０ｃｍ。５５Ｋｇ。
",human_hoshiman.png
2,ダイケイマン,"４０代男性。
頭が台形の男。全身ボロボロで両足が折れている。
モンスターとの戦闘で崖から飛び降り負傷した。
",human_daikeiman.png
3,サンカクマン,"頭が三角形の子供。シカクマンと一緒にプロリタン島にたどり着いた。
わんぱくボーイ。
子供がみな天使のような存在だと思ったら間違いだ。
学校でいじめを首謀することもあるし、
悪意を持って人を陥れたり侮辱することもある。
それも理解したうえで愛情をもって接するのが理想。
理想の反対は現実。

１１歳。
",human_xxx.png
4,シカクマン,"頭が四辺形の子供。サンカクマンより年下。おとなしめ。
８歳。

サンカクマンとは赤の他人。
",human_xxx.png
5,ビム,"人型のモンスター。全身真っ白。
実験体。人を攻撃しない。
モンスターは兵器として人を攻撃するように作られている。
しかしビムは、モンスターに人格を持たせるのが目的の実験体であった。
人を攻撃するところまでは研究が進んでいなかった。
そしてここに廃棄された。何もすることがない。
名前はない。ホシマンたちがつけた。
",human_xxx.png
6,ブイエスコ,"人型のモンスター。全身真っ白。
実験体。人を攻撃する。
ビムとブイエスコは見た目が同じで区別ができない。
名前はない。ホシマンたちがつけた。
",human_xxx.png
7,ウェブニン,"原住民の老婆
",human_xxx.png
8,ジーオフ,"ライネンという契約を行うことができる。
絶体絶命の人の元に現れ契約を勧めてくる。

社会に与える影響を考慮してパワーエッグ島限定で契約ができるようにしている。

絶体絶命の人の元に現れるのは１年後に死亡する、という契約を獲得したいから。

顔面は牛の頭蓋骨
",human_xxx.png
9,ガイン,"暴力的な男。
短気で利己的、自分以外の人間は全員ゴミだと思っている。
女性と男性とで接し方が１８０度変わる。
立場が上か下かで接し方が１８０度変わる。
「口は悪いが心は優しい人」などいない。

廃墟を自分の所有物だとして盗人扱いしてくる。
すべて返却を要求し、また、罰として罰金の支払いを要求してくるが
本人は自分がおかしいという発想がなく「バカに教育してあげている」という認識である。
",human_xxx.png
10,ネス,"ウソやズルをする男。
電車の利用や買い物が一人でできずＩＱが８０程度しかない。
いつもヘラヘラしていて、なんでも人のせいにする。
人が死ぬと爆笑する。
ノーブルを利用し死なせた。
一度、脳が破壊されてから生き返っている。

脳の損傷は全快し、機能は元に戻ったが記憶の大半が失われている。

外道ぶりも低知能も元からである。
",human_xxx.png
11,ノーブル,"知的障害の男。ネスに利用され死んだ。
",human_xxx.png
12,ヒシガタマン,"ホシマンの元恋人。若者同士の恋愛はそうそううまくいかない。
",human_xxx.png
