ID,SubID,‘Ï‹v“x
1,1,999
1,2,998
1,3,997
1,4,996
1,5,995
1,6,994
1,7,993
1,8,992
1,9,991
1,10,990
2,1,989
2,2,988
2,3,987
2,4,986
2,5,985
2,6,984
2,7,983
2,8,982
2,9,981
2,10,980
3,1,979
3,2,978
3,3,977
3,4,976
3,5,975
3,6,974
3,7,973
3,8,972
3,9,971
3,10,970
4,1,969
4,2,968
4,3,967
4,4,966
4,5,965
4,6,964
4,7,963
4,8,962
4,9,961
4,10,960
5,1,959
5,2,958
5,3,957
5,4,956
5,5,955
5,6,954
5,7,953
5,8,952
5,9,951
5,10,950
6,1,949
6,2,948
6,3,947
6,4,946
6,5,945
6,6,944
6,7,943
6,8,942
6,9,941
6,10,940
7,1,939
7,2,938
7,3,937
7,4,936
7,5,935
7,6,934
7,7,933
7,8,932
7,9,931
7,10,930
8,1,929
8,2,928
8,3,927
8,4,926
8,5,925
8,6,924
8,7,923
8,8,922
8,9,921
8,10,920
9,1,919
9,2,918
9,3,917
9,4,916
9,5,915
9,6,914
9,7,913
9,8,912
9,9,911
9,10,910
10,1,909
10,2,908
10,3,907
10,4,906
10,5,905
10,6,904
10,7,903
10,8,902
10,9,901
10,10,900
11,1,899
11,2,898
11,3,897
11,4,896
11,5,895
11,6,894
11,7,893
11,8,892
11,9,891
11,10,890
12,1,889
12,2,888
12,3,887
12,4,886
12,5,885
12,6,884
12,7,883
12,8,882
12,9,881
12,10,880
13,1,879
13,2,878
13,3,877
13,4,876
13,5,875
13,6,874
13,7,873
13,8,872
13,9,871
13,10,870
14,1,869
14,2,868
14,3,867
14,4,866
14,5,865
14,6,864
14,7,863
14,8,862
14,9,861
14,10,860
15,1,859
15,2,858
15,3,857
15,4,856
15,5,855
15,6,854
15,7,853
15,8,852
15,9,851
15,10,850
16,1,849
16,2,848
16,3,847
16,4,846
16,5,845
16,6,844
16,7,843
16,8,842
16,9,841
16,10,840
17,1,839
17,2,838
17,3,837
17,4,836
17,5,835
17,6,834
17,7,833
17,8,832
17,9,831
17,10,830
18,1,829
18,2,828
18,3,827
18,4,826
18,5,825
18,6,824
18,7,823
18,8,822
18,9,821
18,10,820
19,1,819
19,2,818
19,3,817
19,4,816
19,5,815
19,6,814
19,7,813
19,8,812
19,9,811
19,10,810
20,1,809
20,2,808
20,3,807
20,4,806
20,5,805
20,6,804
20,7,803
20,8,802
20,9,801
20,10,800
21,1,799
21,2,798
21,3,797
21,4,796
21,5,795
21,6,794
21,7,793
21,8,792
21,9,791
21,10,790
22,1,789
22,2,788
22,3,787
22,4,786
22,5,785
22,6,784
22,7,783
22,8,782
22,9,781
22,10,780
23,1,779
23,2,778
23,3,777
23,4,776
23,5,775
23,6,774
23,7,773
23,8,772
23,9,771
23,10,770
24,1,769
24,2,768
24,3,767
24,4,766
24,5,765
24,6,764
24,7,763
24,8,762
24,9,761
24,10,760
25,1,759
25,2,758
25,3,757
25,4,756
25,5,755
25,6,754
25,7,753
25,8,752
25,9,751
25,10,750
26,1,749
26,2,748
26,3,747
26,4,746
26,5,745
26,6,744
26,7,743
26,8,742
26,9,741
26,10,740
27,1,739
27,2,738
27,3,737
27,4,736
27,5,735
27,6,734
27,7,733
27,8,732
27,9,731
27,10,730
28,1,729
28,2,728
28,3,727
28,4,726
28,5,725
28,6,724
28,7,723
28,8,722
28,9,721
28,10,720
29,1,719
29,2,718
29,3,717
29,4,716
29,5,715
29,6,714
29,7,713
29,8,712
29,9,711
29,10,710
30,1,709
30,2,708
30,3,707
30,4,706
30,5,705
30,6,704
30,7,703
30,8,702
30,9,701
30,10,700
31,1,699
31,2,698
31,3,697
31,4,696
31,5,695
31,6,694
31,7,693
31,8,692
31,9,691
31,10,690
32,1,689
32,2,688
32,3,687
32,4,686
32,5,685
32,6,684
32,7,683
32,8,682
32,9,681
32,10,680
33,1,679
33,2,678
33,3,677
33,4,676
33,5,675
33,6,674
33,7,673
33,8,672
33,9,671
33,10,670
34,1,669
34,2,668
34,3,667
34,4,666
34,5,665
34,6,664
34,7,663
34,8,662
34,9,661
34,10,660
35,1,659
35,2,658
35,3,657
35,4,656
35,5,655
35,6,654
35,7,653
35,8,652
35,9,651
35,10,650
36,1,649
36,2,648
36,3,647
36,4,646
36,5,645
36,6,644
36,7,643
36,8,642
36,9,641
36,10,640
37,1,639
37,2,638
37,3,637
37,4,636
37,5,635
37,6,634
37,7,633
37,8,632
37,9,631
37,10,630
38,1,629
38,2,628
38,3,627
38,4,626
38,5,625
38,6,624
38,7,623
38,8,622
38,9,621
38,10,620
39,1,619
39,2,618
39,3,617
39,4,616
39,5,615
39,6,614
39,7,613
39,8,612
39,9,611
39,10,610
40,1,609
40,2,608
40,3,607
40,4,606
40,5,605
40,6,604
40,7,603
40,8,602
40,9,601
40,10,600
41,1,599
41,2,598
41,3,597
41,4,596
41,5,595
41,6,594
41,7,593
41,8,592
41,9,591
41,10,590
42,1,589
42,2,588
42,3,587
42,4,586
42,5,585
42,6,584
42,7,583
42,8,582
42,9,581
42,10,580
43,1,579
43,2,578
43,3,577
43,4,576
43,5,575
43,6,574
43,7,573
43,8,572
43,9,571
43,10,570
44,1,569
44,2,568
44,3,567
44,4,566
44,5,565
44,6,564
44,7,563
44,8,562
44,9,561
44,10,560
45,1,559
45,2,558
45,3,557
45,4,556
45,5,555
45,6,554
45,7,553
45,8,552
45,9,551
45,10,550
46,1,549
46,2,548
46,3,547
46,4,546
46,5,545
46,6,544
46,7,543
46,8,542
46,9,541
46,10,540
47,1,539
47,2,538
47,3,537
47,4,536
47,5,535
47,6,534
47,7,533
47,8,532
47,9,531
47,10,530
48,1,529
48,2,528
48,3,527
48,4,526
48,5,525
48,6,524
48,7,523
48,8,522
48,9,521
48,10,520
49,1,519
49,2,518
49,3,517
49,4,516
49,5,515
49,6,514
49,7,513
49,8,512
49,9,511
49,10,510
50,1,509
50,2,508
50,3,507
50,4,506
50,5,505
50,6,504
50,7,503
50,8,502
50,9,501
50,10,500
51,1,499
51,2,498
51,3,497
51,4,496
51,5,495
51,6,494
51,7,493
51,8,492
51,9,491
51,10,490
52,1,489
52,2,488
52,3,487
52,4,486
52,5,485
52,6,484
52,7,483
52,8,482
52,9,481
52,10,480
53,1,479
53,2,478
53,3,477
53,4,476
53,5,475
53,6,474
53,7,473
53,8,472
53,9,471
53,10,470
54,1,469
54,2,468
54,3,467
54,4,466
54,5,465
54,6,464
54,7,463
54,8,462
54,9,461
54,10,460
55,1,459
55,2,458
55,3,457
55,4,456
55,5,455
55,6,454
55,7,453
55,8,452
55,9,451
55,10,450
56,1,449
56,2,448
56,3,447
56,4,446
56,5,445
56,6,444
56,7,443
56,8,442
56,9,441
56,10,440
57,1,439
57,2,438
57,3,437
57,4,436
57,5,435
57,6,434
57,7,433
57,8,432
57,9,431
57,10,430
58,1,429
58,2,428
58,3,427
58,4,426
58,5,425
58,6,424
58,7,423
58,8,422
58,9,421
58,10,420
59,1,419
59,2,418
59,3,417
59,4,416
59,5,415
59,6,414
59,7,413
59,8,412
59,9,411
59,10,410
60,1,409
60,2,408
60,3,407
60,4,406
60,5,405
60,6,404
60,7,403
60,8,402
60,9,401
60,10,400
61,1,399
61,2,398
61,3,397
61,4,396
61,5,395
61,6,394
61,7,393
61,8,392
61,9,391
61,10,390
62,1,389
62,2,388
62,3,387
62,4,386
62,5,385
62,6,384
62,7,383
62,8,382
62,9,381
62,10,380
63,1,379
63,2,378
63,3,377
63,4,376
63,5,375
63,6,374
63,7,373
63,8,372
63,9,371
63,10,370
64,1,369
64,2,368
64,3,367
64,4,366
64,5,365
64,6,364
64,7,363
64,8,362
64,9,361
64,10,360
65,1,359
65,2,358
65,3,357
65,4,356
65,5,355
65,6,354
65,7,353
65,8,352
65,9,351
65,10,350
66,1,349
66,2,348
66,3,347
66,4,346
66,5,345
66,6,344
66,7,343
66,8,342
66,9,341
66,10,340
67,1,339
67,2,338
67,3,337
67,4,336
67,5,335
67,6,334
67,7,333
67,8,332
67,9,331
67,10,330
68,1,329
68,2,328
68,3,327
68,4,326
68,5,325
68,6,324
68,7,323
68,8,322
68,9,321
68,10,320
69,1,319
69,2,318
69,3,317
69,4,316
69,5,315
69,6,314
69,7,313
69,8,312
69,9,311
69,10,310
70,1,309
70,2,308
70,3,307
70,4,306
70,5,305
70,6,304
70,7,303
70,8,302
70,9,301
70,10,300
71,1,299
71,2,298
71,3,297
71,4,296
71,5,295
71,6,294
71,7,293
71,8,292
71,9,291
71,10,290
72,1,289
72,2,288
72,3,287
72,4,286
72,5,285
72,6,284
72,7,283
72,8,282
72,9,281
72,10,280
73,1,279
73,2,278
73,3,277
73,4,276
73,5,275
73,6,274
73,7,273
73,8,272
73,9,271
73,10,270
74,1,269
74,2,268
74,3,267
74,4,266
74,5,265
74,6,264
74,7,263
74,8,262
74,9,261
74,10,260
75,1,259
75,2,258
75,3,257
75,4,256
75,5,255
75,6,254
75,7,253
75,8,252
75,9,251
75,10,250
76,1,249
76,2,248
76,3,247
76,4,246
76,5,245
76,6,244
76,7,243
76,8,242
76,9,241
76,10,240
77,1,239
77,2,238
77,3,237
77,4,236
77,5,235
77,6,234
77,7,233
77,8,232
77,9,231
77,10,230
78,1,229
78,2,228
78,3,227
78,4,226
78,5,225
78,6,224
78,7,223
78,8,222
78,9,221
78,10,220
79,1,219
79,2,218
79,3,217
79,4,216
79,5,215
79,6,214
79,7,213
79,8,212
79,9,211
79,10,210
80,1,209
80,2,208
80,3,207
80,4,206
80,5,205
80,6,204
80,7,203
80,8,202
80,9,201
80,10,200
81,1,199
81,2,198
81,3,197
81,4,196
81,5,195
81,6,194
81,7,193
81,8,192
81,9,191
81,10,190
82,1,189
82,2,188
82,3,187
82,4,186
82,5,185
82,6,184
