ID,アイテム名,SubID,耐久度
bag,袋,1,739
bag,袋,2,738
bag,袋,3,737
bag,袋,4,736
bag,袋,5,735
bag,袋,6,734
bag,袋,7,733
bag,袋,8,732
bag,袋,9,731
bag,袋,10,730
bag1,袋,1,729
bag1,袋,2,728
bag1,袋,3,727
bag1,袋,4,726
bag1,袋,5,725
bag1,袋,6,724
bag1,袋,7,723
bag1,袋,8,722
bag1,袋,9,721
bag1,袋,10,720
bag2,袋,1,719
bag2,袋,2,718
bag2,袋,3,717
bag2,袋,4,716
bag2,袋,5,715
bag2,袋,6,714
bag2,袋,7,713
bag2,袋,8,712
bag2,袋,9,711
bag2,袋,10,710
bag3,袋,1,709
bag3,袋,2,708
bag3,袋,3,707
bag3,袋,4,706
bag3,袋,5,705
bag3,袋,6,704
bag3,袋,7,703
bag3,袋,8,702
bag3,袋,9,701
bag3,袋,10,700
bag4,袋,1,699
bag4,袋,2,698
bag4,袋,3,697
bag4,袋,4,696
bag4,袋,5,695
bag4,袋,6,694
bag4,袋,7,693
bag4,袋,8,692
bag4,袋,9,691
bag4,袋,10,690
bag5,袋,1,689
bag5,袋,2,688
bag5,袋,3,687
bag5,袋,4,686
bag5,袋,5,685
bag5,袋,6,684
bag5,袋,7,683
bag5,袋,8,682
bag5,袋,9,681
bag5,袋,10,680
banana,バナナ,1,609
banana,バナナ,2,608
banana,バナナ,3,607
banana,バナナ,4,606
banana,バナナ,5,605
banana,バナナ,6,604
banana,バナナ,7,603
banana,バナナ,8,602
banana,バナナ,9,601
banana,バナナ,10,600
bow,弓矢の弓,1,309
bow,弓矢の弓,2,308
bow,弓矢の弓,3,307
bow,弓矢の弓,4,306
bow,弓矢の弓,5,305
bow,弓矢の弓,6,304
bow,弓矢の弓,7,303
bow,弓矢の弓,8,302
bow,弓矢の弓,9,301
bow,弓矢の弓,10,300
bow1,弓矢の弓,1,299
bow1,弓矢の弓,2,298
bow1,弓矢の弓,3,297
bow1,弓矢の弓,4,296
bow1,弓矢の弓,5,295
bow1,弓矢の弓,6,294
bow1,弓矢の弓,7,293
bow1,弓矢の弓,8,292
bow1,弓矢の弓,9,291
bow1,弓矢の弓,10,290
branch,木の枝,1,469
branch,木の枝,2,468
branch,木の枝,3,467
branch,木の枝,4,466
branch,木の枝,5,465
branch,木の枝,6,464
branch,木の枝,7,463
branch,木の枝,8,462
branch,木の枝,9,461
branch,木の枝,10,460
bui,ブイ,1,759
bui,ブイ,2,758
bui,ブイ,3,757
bui,ブイ,4,756
bui,ブイ,5,755
bui,ブイ,6,754
bui,ブイ,7,753
bui,ブイ,8,752
bui,ブイ,9,751
bui,ブイ,10,750
coconut,ココナッツの実,1,959
coconut,ココナッツの実,2,958
coconut,ココナッツの実,3,957
coconut,ココナッツの実,4,956
coconut,ココナッツの実,5,955
coconut,ココナッツの実,6,954
coconut,ココナッツの実,7,953
coconut,ココナッツの実,8,952
coconut,ココナッツの実,9,951
coconut,ココナッツの実,10,950
coconutRipe,熟したココナッツの実,1,949
coconutRipe,熟したココナッツの実,2,948
coconutRipe,熟したココナッツの実,3,947
coconutRipe,熟したココナッツの実,4,946
coconutRipe,熟したココナッツの実,5,945
coconutRipe,熟したココナッツの実,6,944
coconutRipe,熟したココナッツの実,7,943
coconutRipe,熟したココナッツの実,8,942
coconutRipe,熟したココナッツの実,9,941
coconutRipe,熟したココナッツの実,10,940
copper,銅鉱石,1,779
copper,銅鉱石,2,778
