ID,アイテム名,SubID,耐久度
sumaho,スマホ,21,999
sumaho,スマホ,22,998
sumaho,スマホ,23,997
sumaho,スマホ,24,996
sumaho,スマホ,25,995
sumaho,スマホ,26,994
sumaho,スマホ,27,993
sumaho,スマホ,28,992
sumaho,スマホ,29,991
sumaho,スマホ,30,990
homeKey,家のカギ,21,989
homeKey,家のカギ,22,988
homeKey,家のカギ,23,987
homeKey,家のカギ,24,986
homeKey,家のカギ,25,985
homeKey,家のカギ,26,984
homeKey,家のカギ,27,983
homeKey,家のカギ,28,982
homeKey,家のカギ,29,981
homeKey,家のカギ,30,980
sotetsu,赤い実,21,979
sotetsu,赤い実,22,978
sotetsu,赤い実,23,977
sotetsu,赤い実,24,976
sotetsu,赤い実,25,975
sotetsu,赤い実,26,974
sotetsu,赤い実,27,973
sotetsu,赤い実,28,972
sotetsu,赤い実,29,971
sotetsu,赤い実,30,970
sotetsuDetox,毒抜きした赤い実,21,969
sotetsuDetox,毒抜きした赤い実,22,968
sotetsuDetox,毒抜きした赤い実,23,967
sotetsuDetox,毒抜きした赤い実,24,966
sotetsuDetox,毒抜きした赤い実,25,965
sotetsuDetox,毒抜きした赤い実,26,964
sotetsuDetox,毒抜きした赤い実,27,963
sotetsuDetox,毒抜きした赤い実,28,962
sotetsuDetox,毒抜きした赤い実,29,961
sotetsuDetox,毒抜きした赤い実,30,960
coconut,ココナッツの実,21,959
coconut,ココナッツの実,22,958
coconut,ココナッツの実,23,957
coconut,ココナッツの実,24,956
coconut,ココナッツの実,25,955
coconut,ココナッツの実,26,954
coconut,ココナッツの実,27,953
coconut,ココナッツの実,28,952
coconut,ココナッツの実,29,951
coconut,ココナッツの実,30,950
coconutRipe,熟したココナッツの実,21,949
coconutRipe,熟したココナッツの実,22,948
coconutRipe,熟したココナッツの実,23,947
coconutRipe,熟したココナッツの実,24,946
coconutRipe,熟したココナッツの実,25,945
coconutRipe,熟したココナッツの実,26,944
coconutRipe,熟したココナッツの実,27,943
coconutRipe,熟したココナッツの実,28,942
coconutRipe,熟したココナッツの実,29,941
coconutRipe,熟したココナッツの実,30,940
donguri1,細長いどんぐり,21,939
donguri1,細長いどんぐり,22,938
donguri1,細長いどんぐり,23,937
donguri1,細長いどんぐり,24,936
donguri1,細長いどんぐり,25,935
donguri1,細長いどんぐり,26,934
donguri1,細長いどんぐり,27,933
donguri1,細長いどんぐり,28,932
donguri1,細長いどんぐり,29,931
donguri1,細長いどんぐり,30,930
donguri2,小さくて丸いどんぐり,21,929
donguri2,小さくて丸いどんぐり,22,928
donguri2,小さくて丸いどんぐり,23,927
donguri2,小さくて丸いどんぐり,24,926
donguri2,小さくて丸いどんぐり,25,925
donguri2,小さくて丸いどんぐり,26,924
donguri2,小さくて丸いどんぐり,27,923
donguri2,小さくて丸いどんぐり,28,922
donguri2,小さくて丸いどんぐり,29,921
donguri2,小さくて丸いどんぐり,30,920
donguri3,大きいどんぐり ,21,919
donguri3,大きいどんぐり ,22,918
donguri3,大きいどんぐり ,23,917
donguri3,大きいどんぐり ,24,916
donguri3,大きいどんぐり ,25,915
donguri3,大きいどんぐり ,26,914
donguri3,大きいどんぐり ,27,913
donguri3,大きいどんぐり ,28,912
donguri3,大きいどんぐり ,29,911
donguri3,大きいどんぐり ,30,910
donguriDetox,あく抜きをした大きいどんぐり,21,909
donguriDetox,あく抜きをした大きいどんぐり,22,908
donguriDetox,あく抜きをした大きいどんぐり,23,907
donguriDetox,あく抜きをした大きいどんぐり,24,906
donguriDetox,あく抜きをした大きいどんぐり,25,905
donguriDetox,あく抜きをした大きいどんぐり,26,904
donguriDetox,あく抜きをした大きいどんぐり,27,903
donguriDetox,あく抜きをした大きいどんぐり,28,902
donguriDetox,あく抜きをした大きいどんぐり,29,901
donguriDetox,あく抜きをした大きいどんぐり,30,900
flower,ハイビスカス,21,899
flower,ハイビスカス,22,898
flower,ハイビスカス,23,897
flower,ハイビスカス,24,896
flower,ハイビスカス,25,895
flower,ハイビスカス,26,894
flower,ハイビスカス,27,893
flower,ハイビスカス,28,892
flower,ハイビスカス,29,891
flower,ハイビスカス,30,890
kakan,花輪,21,889
kakan,花輪,22,888
kakan,花輪,23,887
kakan,花輪,24,886
kakan,花輪,25,885
kakan,花輪,26,884
kakan,花輪,27,883
kakan,花輪,28,882
kakan,花輪,29,881
kakan,花輪,30,880
tsukushi,ツクシ,21,879
tsukushi,ツクシ,22,878
tsukushi,ツクシ,23,877
tsukushi,ツクシ,24,876
tsukushi,ツクシ,25,875
tsukushi,ツクシ,26,874
tsukushi,ツクシ,27,873
tsukushi,ツクシ,28,872
tsukushi,ツクシ,29,871
tsukushi,ツクシ,30,870
unknownPlant1,謎の草１,21,869
unknownPlant1,謎の草１,22,868
unknownPlant1,謎の草１,23,867
unknownPlant1,謎の草１,24,866
unknownPlant1,謎の草１,25,865
unknownPlant1,謎の草１,26,864
unknownPlant1,謎の草１,27,863
unknownPlant1,謎の草１,28,862
unknownPlant1,謎の草１,29,861
unknownPlant1,謎の草１,30,860
unknownPlant2,謎の草２,21,859
unknownPlant2,謎の草２,22,858
unknownPlant2,謎の草２,23,857
unknownPlant2,謎の草２,24,856
unknownPlant2,謎の草２,25,855
unknownPlant2,謎の草２,26,854
unknownPlant2,謎の草２,27,853
unknownPlant2,謎の草２,28,852
unknownPlant2,謎の草２,29,851
unknownPlant2,謎の草２,30,850
unknownPlant3,謎の草３,21,849
unknownPlant3,謎の草３,22,848
unknownPlant3,謎の草３,23,847
unknownPlant3,謎の草３,24,846
unknownPlant3,謎の草３,25,845
unknownPlant3,謎の草３,26,844
unknownPlant3,謎の草３,27,843
unknownPlant3,謎の草３,28,842
unknownPlant3,謎の草３,29,841
unknownPlant3,謎の草３,30,840
unknownPlant4,謎の草４,21,839
unknownPlant4,謎の草４,22,838
unknownPlant4,謎の草４,23,837
unknownPlant4,謎の草４,24,836
unknownPlant4,謎の草４,25,835
unknownPlant4,謎の草４,26,834
unknownPlant4,謎の草４,27,833
unknownPlant4,謎の草４,28,832
unknownPlant4,謎の草４,29,831
unknownPlant4,謎の草４,30,830
unknownPlant5,謎の草５,21,829
unknownPlant5,謎の草５,22,828
unknownPlant5,謎の草５,23,827
unknownPlant5,謎の草５,24,826
unknownPlant5,謎の草５,25,825
unknownPlant5,謎の草５,26,824
unknownPlant5,謎の草５,27,823
unknownPlant5,謎の草５,28,822
unknownPlant5,謎の草５,29,821
unknownPlant5,謎の草５,30,820
unknownPlant6,謎の草６,21,819
unknownPlant6,謎の草６,22,818
unknownPlant6,謎の草６,23,817
unknownPlant6,謎の草６,24,816
unknownPlant6,謎の草６,25,815
unknownPlant6,謎の草６,26,814
unknownPlant6,謎の草６,27,813
unknownPlant6,謎の草６,28,812
unknownPlant6,謎の草６,29,811
unknownPlant6,謎の草６,30,810
tanpopo,タンポポ,21,809
tanpopo,タンポポ,22,808
tanpopo,タンポポ,23,807
tanpopo,タンポポ,24,806
tanpopo,タンポポ,25,805
tanpopo,タンポポ,26,804
tanpopo,タンポポ,27,803
tanpopo,タンポポ,28,802
