ID,アイテム名,SubID,耐久度
sumaho,スマホ,11,999
sumaho,スマホ,12,998
sumaho,スマホ,13,997
sumaho,スマホ,14,996
sumaho,スマホ,15,995
sumaho,スマホ,16,994
sumaho,スマホ,17,993
sumaho,スマホ,18,992
sumaho,スマホ,19,991
sumaho,スマホ,20,990
homeKey,家のカギ,11,989
homeKey,家のカギ,12,988
homeKey,家のカギ,13,987
homeKey,家のカギ,14,986
homeKey,家のカギ,15,985
homeKey,家のカギ,16,984
homeKey,家のカギ,17,983
homeKey,家のカギ,18,982
homeKey,家のカギ,19,981
homeKey,家のカギ,20,980
sotetsu,赤い実,11,979
sotetsu,赤い実,12,978
sotetsu,赤い実,13,977
sotetsu,赤い実,14,976
sotetsu,赤い実,15,975
sotetsu,赤い実,16,974
sotetsu,赤い実,17,973
sotetsu,赤い実,18,972
sotetsu,赤い実,19,971
sotetsu,赤い実,20,970
sotetsuDetox,毒抜きした赤い実,11,969
sotetsuDetox,毒抜きした赤い実,12,968
sotetsuDetox,毒抜きした赤い実,13,967
sotetsuDetox,毒抜きした赤い実,14,966
sotetsuDetox,毒抜きした赤い実,15,965
sotetsuDetox,毒抜きした赤い実,16,964
sotetsuDetox,毒抜きした赤い実,17,963
sotetsuDetox,毒抜きした赤い実,18,962
sotetsuDetox,毒抜きした赤い実,19,961
sotetsuDetox,毒抜きした赤い実,20,960
coconut,ココナッツの実,11,959
coconut,ココナッツの実,12,958
coconut,ココナッツの実,13,957
coconut,ココナッツの実,14,956
coconut,ココナッツの実,15,955
coconut,ココナッツの実,16,954
coconut,ココナッツの実,17,953
coconut,ココナッツの実,18,952
coconut,ココナッツの実,19,951
coconut,ココナッツの実,20,950
coconutRipe,熟したココナッツの実,11,949
coconutRipe,熟したココナッツの実,12,948
coconutRipe,熟したココナッツの実,13,947
coconutRipe,熟したココナッツの実,14,946
coconutRipe,熟したココナッツの実,15,945
coconutRipe,熟したココナッツの実,16,944
coconutRipe,熟したココナッツの実,17,943
coconutRipe,熟したココナッツの実,18,942
coconutRipe,熟したココナッツの実,19,941
coconutRipe,熟したココナッツの実,20,940
donguri1,細長いどんぐり,11,939
donguri1,細長いどんぐり,12,938
donguri1,細長いどんぐり,13,937
donguri1,細長いどんぐり,14,936
donguri1,細長いどんぐり,15,935
donguri1,細長いどんぐり,16,934
donguri1,細長いどんぐり,17,933
donguri1,細長いどんぐり,18,932
donguri1,細長いどんぐり,19,931
donguri1,細長いどんぐり,20,930
donguri2,小さくて丸いどんぐり,11,929
donguri2,小さくて丸いどんぐり,12,928
donguri2,小さくて丸いどんぐり,13,927
donguri2,小さくて丸いどんぐり,14,926
donguri2,小さくて丸いどんぐり,15,925
donguri2,小さくて丸いどんぐり,16,924
donguri2,小さくて丸いどんぐり,17,923
donguri2,小さくて丸いどんぐり,18,922
donguri2,小さくて丸いどんぐり,19,921
donguri2,小さくて丸いどんぐり,20,920
donguri3,大きいどんぐり ,11,919
donguri3,大きいどんぐり ,12,918
donguri3,大きいどんぐり ,13,917
donguri3,大きいどんぐり ,14,916
donguri3,大きいどんぐり ,15,915
donguri3,大きいどんぐり ,16,914
donguri3,大きいどんぐり ,17,913
donguri3,大きいどんぐり ,18,912
donguri3,大きいどんぐり ,19,911
donguri3,大きいどんぐり ,20,910
donguriDetox,あく抜きをした大きいどんぐり,11,909
donguriDetox,あく抜きをした大きいどんぐり,12,908
donguriDetox,あく抜きをした大きいどんぐり,13,907
donguriDetox,あく抜きをした大きいどんぐり,14,906
donguriDetox,あく抜きをした大きいどんぐり,15,905
donguriDetox,あく抜きをした大きいどんぐり,16,904
donguriDetox,あく抜きをした大きいどんぐり,17,903
donguriDetox,あく抜きをした大きいどんぐり,18,902
donguriDetox,あく抜きをした大きいどんぐり,19,901
donguriDetox,あく抜きをした大きいどんぐり,20,900
flower,ハイビスカス,11,899
flower,ハイビスカス,12,898
flower,ハイビスカス,13,897
flower,ハイビスカス,14,896
flower,ハイビスカス,15,895
flower,ハイビスカス,16,894
flower,ハイビスカス,17,893
flower,ハイビスカス,18,892
flower,ハイビスカス,19,891
flower,ハイビスカス,20,890
kakan,花輪,11,889
kakan,花輪,12,888
